document_id,language,ground_truth,prediction,error_type
23,Odia,,₹36530:AMOUNT,FALSE_POSITIVE
24,Punjabi,Name3:PERSON,,MISS
24,Punjabi,Address C:ADDRESS,,MISS
24,Punjabi,602859:AMOUNT,,MISS
24,Punjabi,,₹602859:AMOUNT,FALSE_POSITIVE
25,Assamese,Name4:PERSON,,MISS
25,Assamese,HVXUY9321O:PAN,,MISS
25,Assamese,Address B:ADDRESS,,MISS
25,Assamese,441975:AMOUNT,,MISS
25,Assamese,,PAN HVXUY9321O:PAN,FALSE_POSITIVE
25,Assamese,,₹441975:AMOUNT,FALSE_POSITIVE
26,Urdu,Name3:PERSON,,MISS
26,Urdu,Address A:ADDRESS,,MISS
26,Urdu,815015:AMOUNT,,MISS
26,Urdu,,₹815015:AMOUNT,FALSE_POSITIVE
27,English,Name2:PERSON,,MISS
27,English,Address B:ADDRESS,,MISS
27,English,498584:AMOUNT,,MISS
27,English,,Aadhaar:AADHAAR,FALSE_POSITIVE
27,English,,IFSC:IFSC,FALSE_POSITIVE
27,English,,₹498584:AMOUNT,FALSE_POSITIVE
28,Hindi,Name5:PERSON,,MISS
28,Hindi,Address B:ADDRESS,,MISS
28,Hindi,194752:AMOUNT,,MISS
28,Hindi,,₹194752:AMOUNT,FALSE_POSITIVE
29,Kannada,Name3:PERSON,,MISS
29,Kannada,ANSUS0798B:PAN,,MISS
29,Kannada,Address A:ADDRESS,,MISS
29,Kannada,332643:AMOUNT,,MISS
29,Kannada,,PAN ANSUS0798B:PAN,FALSE_POSITIVE
29,Kannada,,₹332643:AMOUNT,FALSE_POSITIVE
30,Tamil,Name4:PERSON,,MISS
30,Tamil,Address A:ADDRESS,,MISS
30,Tamil,831120:AMOUNT,,MISS
30,Tamil,,₹831120:AMOUNT,FALSE_POSITIVE
31,Telugu,Name5:PERSON,,MISS
31,Telugu,Address B:ADDRESS,,MISS
31,Telugu,88720:AMOUNT,,MISS
31,Telugu,,₹88720:AMOUNT,FALSE_POSITIVE
32,Malayalam,Name1:PERSON,,MISS
32,Malayalam,Address C:ADDRESS,,MISS
32,Malayalam,147551:AMOUNT,,MISS
32,Malayalam,,₹147551:AMOUNT,FALSE_POSITIVE
33,Gujarati,663204945247:BANK_ACCOUNT,663204945247:AADHAAR,WRONG_LABEL
33,Gujarati,Name1:PERSON,,MISS
33,Gujarati,Address B:ADDRESS,,MISS
33,Gujarati,3016:AMOUNT,,MISS
33,Gujarati,,₹3016:AMOUNT,FALSE_POSITIVE
34,Marathi,Name3:PERSON,,MISS
34,Marathi,Address A:ADDRESS,,MISS
34,Marathi,767452:AMOUNT,,MISS
34,Marathi,,₹767452:AMOUNT,FALSE_POSITIVE
35,Bengali,Name5:PERSON,,MISS
35,Bengali,Address C:ADDRESS,,MISS
35,Bengali,457740:AMOUNT,,MISS
35,Bengali,,₹457740:AMOUNT,FALSE_POSITIVE
36,Odia,0518 2156 3803:AADHAAR,,MISS
36,Odia,Address A:ADDRESS,,MISS
36,Odia,772679:AMOUNT,,MISS
36,Odia,,₹772679:AMOUNT,FALSE_POSITIVE
37,Punjabi,Name5:PERSON,,MISS
37,Punjabi,Address B:ADDRESS,,MISS
37,Punjabi,824071:AMOUNT,,MISS
37,Punjabi,,₹824071:AMOUNT,FALSE_POSITIVE
38,Assamese,Name2:PERSON,,MISS
38,Assamese,Address B:ADDRESS,,MISS
38,Assamese,376088:AMOUNT,,MISS
38,Assamese,,₹376088:AMOUNT,FALSE_POSITIVE
39,Urdu,Name3:PERSON,,MISS
39,Urdu,Address C:ADDRESS,,MISS
39,Urdu,595570:AMOUNT,,MISS
39,Urdu,,₹595570:AMOUNT,FALSE_POSITIVE
40,English,Name5:PERSON,,MISS
40,English,Address A:ADDRESS,,MISS
40,English,434580:AMOUNT,,MISS
40,English,,Aadhaar:AADHAAR,FALSE_POSITIVE
40,English,,₹434580:AMOUNT,FALSE_POSITIVE
41,Hindi,Name4:PERSON,,MISS
41,Hindi,Address B:ADDRESS,,MISS
41,Hindi,561632:AMOUNT,,MISS
41,Hindi,,₹561632:AMOUNT,FALSE_POSITIVE
42,Kannada,Name5:PERSON,,MISS
42,Kannada,Address B:ADDRESS,,MISS
42,Kannada,775188:AMOUNT,,MISS
42,Kannada,,₹775188:AMOUNT,FALSE_POSITIVE
43,Tamil,9501 4099 0310:AADHAAR,9501 4099 0310:PAN,WRONG_LABEL
43,Tamil,Name3:PERSON,,MISS
43,Tamil,Address C:ADDRESS,,MISS
43,Tamil,507229:AMOUNT,,MISS
43,Tamil,,₹507229:AMOUNT,FALSE_POSITIVE
44,Telugu,Name2:PERSON,,MISS
44,Telugu,Address C:ADDRESS,,MISS
44,Telugu,258937:AMOUNT,,MISS
44,Telugu,,₹258937:AMOUNT,FALSE_POSITIVE
45,Malayalam,Name1:PERSON,,MISS
45,Malayalam,Address C:ADDRESS,,MISS
45,Malayalam,173453:AMOUNT,,MISS
45,Malayalam,,IFSC:IFSC,FALSE_POSITIVE
45,Malayalam,,₹173453:AMOUNT,FALSE_POSITIVE
46,Gujarati,949965724580:BANK_ACCOUNT,949965724580:AADHAAR,WRONG_LABEL
46,Gujarati,Name1:PERSON,,MISS
46,Gujarati,Address C:ADDRESS,,MISS
46,Gujarati,601526:AMOUNT,,MISS
46,Gujarati,,₹601526:AMOUNT,FALSE_POSITIVE
47,Marathi,Name5:PERSON,,MISS
47,Marathi,Address B:ADDRESS,,MISS
47,Marathi,372567:AMOUNT,,MISS
47,Marathi,,₹372567:AMOUNT,FALSE_POSITIVE
48,Bengali,005278700129:BANK_ACCOUNT,005278700129:PAN,WRONG_LABEL
48,Bengali,Name4:PERSON,,MISS
48,Bengali,Address A:ADDRESS,,MISS
48,Bengali,22508:AMOUNT,,MISS
48,Bengali,,₹22508:AMOUNT,FALSE_POSITIVE
49,Odia,Address A:ADDRESS,,MISS
49,Odia,200478:AMOUNT,,MISS
49,Odia,,₹200478:AMOUNT,FALSE_POSITIVE
50,Punjabi,Name5:PERSON,,MISS
50,Punjabi,Address B:ADDRESS,,MISS
50,Punjabi,592542:AMOUNT,,MISS
50,Punjabi,,₹592542:AMOUNT,FALSE_POSITIVE
51,Assamese,Name1:PERSON,,MISS
51,Assamese,Address C:ADDRESS,,MISS
51,Assamese,255369:AMOUNT,,MISS
51,Assamese,,₹255369:AMOUNT,FALSE_POSITIVE
52,Urdu,0165 0396 6630:AADHAAR,0165 0396 6630:EMAIL,WRONG_LABEL
52,Urdu,Name2:PERSON,,MISS
52,Urdu,Address A:ADDRESS,,MISS
52,Urdu,318412:AMOUNT,,MISS
52,Urdu,,₹318412:AMOUNT,FALSE_POSITIVE
53,English,Name3:PERSON,,MISS
53,English,Address C:ADDRESS,,MISS
53,English,476781:AMOUNT,,MISS
53,English,,Aadhaar:AADHAAR,FALSE_POSITIVE
53,English,,₹476781:AMOUNT,FALSE_POSITIVE
54,Hindi,Name5:PERSON,,MISS
54,Hindi,Address A:ADDRESS,,MISS
54,Hindi,149991:AMOUNT,,MISS
54,Hindi,,₹149991:AMOUNT,FALSE_POSITIVE
55,Kannada,Name3:PERSON,,MISS
55,Kannada,0565 6162 4615:AADHAAR,,MISS
55,Kannada,Address C:ADDRESS,,MISS
55,Kannada,668044:AMOUNT,,MISS
55,Kannada,,6162 4615:DATE,FALSE_POSITIVE
55,Kannada,,₹668044:AMOUNT,FALSE_POSITIVE
56,Tamil,0466 9453 6929:AADHAAR,0466 9453 6929:DATE,WRONG_LABEL
56,Tamil,Name2:PERSON,,MISS
56,Tamil,Address A:ADDRESS,,MISS
56,Tamil,107646:AMOUNT,,MISS
56,Tamil,,IFSC:IFSC,FALSE_POSITIVE
56,Tamil,,₹107646:AMOUNT,FALSE_POSITIVE
57,Telugu,Name2:PERSON,,MISS
57,Telugu,Address B:ADDRESS,,MISS
57,Telugu,231364:AMOUNT,,MISS
57,Telugu,,₹231364:AMOUNT,FALSE_POSITIVE
58,Malayalam,Name3:PERSON,,MISS
58,Malayalam,Address C:ADDRESS,,MISS
58,Malayalam,306198:AMOUNT,,MISS
58,Malayalam,,₹306198:AMOUNT,FALSE_POSITIVE
59,Gujarati,137449981327:BANK_ACCOUNT,137449981327:AADHAAR,WRONG_LABEL
59,Gujarati,Name5:PERSON,,MISS
59,Gujarati,0513 8814 7507:AADHAAR,,MISS
59,Gujarati,Address B:ADDRESS,,MISS
59,Gujarati,38642:AMOUNT,,MISS
59,Gujarati,,₹38642:AMOUNT,FALSE_POSITIVE
60,Marathi,Name5:PERSON,,MISS
60,Marathi,9122406698:PHONE,,MISS
60,Marathi,Address A:ADDRESS,,MISS
60,Marathi,307139:AMOUNT,,MISS
60,Marathi,,फोन 9122406698:PHONE,FALSE_POSITIVE
60,Marathi,,₹307139:AMOUNT,FALSE_POSITIVE
61,Bengali,Name1:PERSON,,MISS
61,Bengali,Address B:ADDRESS,,MISS
61,Bengali,866257:AMOUNT,,MISS
61,Bengali,,₹866257:AMOUNT,FALSE_POSITIVE
62,Odia,XSRUU1143H:PAN,,MISS
62,Odia,Address A:ADDRESS,,MISS
62,Odia,380976:AMOUNT,,MISS
62,Odia,,PAN XSRUU1143H:PAN,FALSE_POSITIVE
62,Odia,,₹380976:AMOUNT,FALSE_POSITIVE
63,Punjabi,Name3:PERSON,,MISS
63,Punjabi,Address C:ADDRESS,,MISS
63,Punjabi,295515:AMOUNT,,MISS
63,Punjabi,,₹295515:AMOUNT,FALSE_POSITIVE
64,Assamese,Name3:PERSON,,MISS
64,Assamese,Address B:ADDRESS,,MISS
64,Assamese,753144:AMOUNT,,MISS
64,Assamese,,₹753144:AMOUNT,FALSE_POSITIVE
65,Urdu,Name3:PERSON,,MISS
65,Urdu,Address B:ADDRESS,,MISS
65,Urdu,747608:AMOUNT,,MISS
65,Urdu,,₹747608:AMOUNT,FALSE_POSITIVE
66,English,Name5:PERSON,,MISS
66,English,Address B:ADDRESS,,MISS
66,English,558358:AMOUNT,,MISS
66,English,,Aadhaar:AADHAAR,FALSE_POSITIVE
66,English,,₹558358:AMOUNT,FALSE_POSITIVE
67,Hindi,Name3:PERSON,,MISS
67,Hindi,Address C:ADDRESS,,MISS
67,Hindi,408798:AMOUNT,,MISS
67,Hindi,,₹408798:AMOUNT,FALSE_POSITIVE
68,Kannada,Name3:PERSON,,MISS
68,Kannada,VAGWI8662Z:PAN,,MISS
68,Kannada,Address A:ADDRESS,,MISS
68,Kannada,412360:AMOUNT,,MISS
68,Kannada,,PAN VAGWI8662Z:PAN,FALSE_POSITIVE
68,Kannada,,₹412360:AMOUNT,FALSE_POSITIVE
69,Tamil,Name2:PERSON,,MISS
69,Tamil,Address A:ADDRESS,,MISS
69,Tamil,573644:AMOUNT,,MISS
69,Tamil,,IFSC:IFSC,FALSE_POSITIVE
69,Tamil,,₹573644:AMOUNT,FALSE_POSITIVE
70,Telugu,Name1:PERSON,,MISS
70,Telugu,Address A:ADDRESS,,MISS
70,Telugu,808841:AMOUNT,,MISS
70,Telugu,,₹808841:AMOUNT,FALSE_POSITIVE
71,Malayalam,Name3:PERSON,,MISS
71,Malayalam,Address A:ADDRESS,,MISS
71,Malayalam,268322:AMOUNT,,MISS
71,Malayalam,,₹268322:AMOUNT,FALSE_POSITIVE
72,Gujarati,129442027106:BANK_ACCOUNT,129442027106:AADHAAR,WRONG_LABEL
72,Gujarati,Name4:PERSON,,MISS
72,Gujarati,0631 3554 9031:AADHAAR,,MISS
72,Gujarati,Address C:ADDRESS,,MISS
72,Gujarati,495707:AMOUNT,,MISS
72,Gujarati,,₹495707:AMOUNT,FALSE_POSITIVE
73,Marathi,Name1:PERSON,,MISS
73,Marathi,Address C:ADDRESS,,MISS
73,Marathi,828402:AMOUNT,,MISS
73,Marathi,,₹828402:AMOUNT,FALSE_POSITIVE
74,Bengali,Name1:PERSON,,MISS
74,Bengali,Address B:ADDRESS,,MISS
74,Bengali,702149:AMOUNT,,MISS
74,Bengali,,₹702149:AMOUNT,FALSE_POSITIVE
75,Odia,Name5:PERSON,,MISS
75,Odia,Address A:ADDRESS,,MISS
75,Odia,458171:AMOUNT,,MISS
75,Odia,,₹458171:AMOUNT,FALSE_POSITIVE
76,Punjabi,Name3:PERSON,,MISS
76,Punjabi,Address C:ADDRESS,,MISS
76,Punjabi,214931:AMOUNT,,MISS
76,Punjabi,,PAN:PAN,FALSE_POSITIVE
76,Punjabi,,₹214931:AMOUNT,FALSE_POSITIVE
77,Assamese,Name5:PERSON,,MISS
77,Assamese,Address A:ADDRESS,,MISS
77,Assamese,788765:AMOUNT,,MISS
77,Assamese,,₹788765:AMOUNT,FALSE_POSITIVE
78,Urdu,Name4:PERSON,,MISS
78,Urdu,Address C:ADDRESS,,MISS
78,Urdu,248825:AMOUNT,,MISS
78,Urdu,,₹248825:AMOUNT,FALSE_POSITIVE
79,English,Name2:PERSON,,MISS
79,English,OAGKD8857Q:PAN,,MISS
79,English,4111 9667 1483:AADHAAR,,MISS
79,English,Address B:ADDRESS,,MISS
79,English,803120:AMOUNT,,MISS
79,English,,Customer Name2:PERSON,FALSE_POSITIVE
79,English,,PAN OAGKD8857Q:PAN,FALSE_POSITIVE
79,English,,Aadhaar 4111 9667 1483:AADHAAR,FALSE_POSITIVE
79,English,,₹803120:AMOUNT,FALSE_POSITIVE
80,Hindi,Name3:PERSON,,MISS
80,Hindi,Address B:ADDRESS,,MISS
80,Hindi,530057:AMOUNT,,MISS
80,Hindi,,₹530057:AMOUNT,FALSE_POSITIVE
81,Kannada,Name4:PERSON,,MISS
81,Kannada,Address C:ADDRESS,,MISS
81,Kannada,597884:AMOUNT,,MISS
81,Kannada,,₹597884:AMOUNT,FALSE_POSITIVE
82,Tamil,Name2:PERSON,,MISS
82,Tamil,Address A:ADDRESS,,MISS
82,Tamil,812400:AMOUNT,,MISS
82,Tamil,,IFSC:IFSC,FALSE_POSITIVE
82,Tamil,,₹812400:AMOUNT,FALSE_POSITIVE
83,Telugu,Name2:PERSON,,MISS
83,Telugu,Address B:ADDRESS,,MISS
83,Telugu,621722:AMOUNT,,MISS
83,Telugu,,₹621722:AMOUNT,FALSE_POSITIVE
84,Malayalam,Name5:PERSON,,MISS
84,Malayalam,Address B:ADDRESS,,MISS
84,Malayalam,18571:AMOUNT,,MISS
84,Malayalam,,₹18571:AMOUNT,FALSE_POSITIVE
85,Gujarati,641128812630:BANK_ACCOUNT,641128812630:AADHAAR,WRONG_LABEL
85,Gujarati,Name1:PERSON,,MISS
85,Gujarati,Address A:ADDRESS,,MISS
85,Gujarati,507540:AMOUNT,,MISS
85,Gujarati,,₹507540:AMOUNT,FALSE_POSITIVE
86,Marathi,208827262088:BANK_ACCOUNT,208827262088:PAN,WRONG_LABEL
86,Marathi,Name2:PERSON,,MISS
86,Marathi,0789 0770 9568:AADHAAR,,MISS
86,Marathi,Address A:ADDRESS,,MISS
86,Marathi,449884:AMOUNT,,MISS
86,Marathi,,₹449884:AMOUNT,FALSE_POSITIVE
87,Bengali,Name5:PERSON,,MISS
87,Bengali,Address A:ADDRESS,,MISS
87,Bengali,144263:AMOUNT,,MISS
87,Bengali,,₹144263:AMOUNT,FALSE_POSITIVE
88,Odia,0329 4168 9731:AADHAAR,0329 4168 9731:DATE,WRONG_LABEL
88,Odia,Address A:ADDRESS,,MISS
88,Odia,334278:AMOUNT,,MISS
88,Odia,,₹334278:AMOUNT,FALSE_POSITIVE
89,Punjabi,2539 3443 9160:AADHAAR,2539 3443 9160:PAN,WRONG_LABEL
89,Punjabi,Name1:PERSON,,MISS
89,Punjabi,Address A:ADDRESS,,MISS
89,Punjabi,870894:AMOUNT,,MISS
89,Punjabi,,₹870894:AMOUNT,FALSE_POSITIVE
90,Assamese,Name5:PERSON,,MISS
90,Assamese,Address A:ADDRESS,,MISS
90,Assamese,812577:AMOUNT,,MISS
90,Assamese,,₹812577:AMOUNT,FALSE_POSITIVE
91,Urdu,Name3:PERSON,,MISS
91,Urdu,UCNYJ1873V:PAN,,MISS
91,Urdu,Address C:ADDRESS,,MISS
91,Urdu,202225:AMOUNT,,MISS
91,Urdu,,PAN UCNYJ1873V:PAN,FALSE_POSITIVE
91,Urdu,,₹202225:AMOUNT,FALSE_POSITIVE
92,English,Name1:PERSON,,MISS
92,English,7419 7221 7620:AADHAAR,,MISS
92,English,290115303945:BANK_ACCOUNT,,MISS
92,English,Address A:ADDRESS,,MISS
92,English,327273:AMOUNT,,MISS
92,English,,Aadhaar 7419 7221 7620:AADHAAR,FALSE_POSITIVE
92,English,,Account 290115303945:BANK_ACCOUNT,FALSE_POSITIVE
92,English,,₹327273:AMOUNT,FALSE_POSITIVE
93,Hindi,Name4:PERSON,,MISS
93,Hindi,Address B:ADDRESS,,MISS
93,Hindi,114840:AMOUNT,,MISS
93,Hindi,,₹114840:AMOUNT,FALSE_POSITIVE
94,Kannada,Name2:PERSON,,MISS
94,Kannada,Address B:ADDRESS,,MISS
94,Kannada,128174:AMOUNT,,MISS
94,Kannada,,₹128174:AMOUNT,FALSE_POSITIVE
95,Tamil,4650 3156 3635:AADHAAR,4650 3156 3635:PAN,WRONG_LABEL
95,Tamil,Name3:PERSON,,MISS
95,Tamil,Address C:ADDRESS,,MISS
95,Tamil,178446:AMOUNT,,MISS
95,Tamil,,IFSC:IFSC,FALSE_POSITIVE
95,Tamil,,₹178446:AMOUNT,FALSE_POSITIVE
96,Telugu,Name5:PERSON,,MISS
96,Telugu,Address B:ADDRESS,,MISS
96,Telugu,305518:AMOUNT,,MISS
96,Telugu,,₹305518:AMOUNT,FALSE_POSITIVE
97,Malayalam,Name2:PERSON,,MISS
97,Malayalam,Address C:ADDRESS,,MISS
97,Malayalam,835461:AMOUNT,,MISS
97,Malayalam,,₹835461:AMOUNT,FALSE_POSITIVE
98,Gujarati,324603137578:BANK_ACCOUNT,324603137578:AADHAAR,WRONG_LABEL
98,Gujarati,Name1:PERSON,,MISS
98,Gujarati,Address A:ADDRESS,,MISS
98,Gujarati,332052:AMOUNT,,MISS
98,Gujarati,,₹332052:AMOUNT,FALSE_POSITIVE
99,Marathi,Name3:PERSON,,MISS
99,Marathi,IZERR9922J:PAN,,MISS
99,Marathi,9124248109:PHONE,,MISS
99,Marathi,Address A:ADDRESS,,MISS
99,Marathi,208020:AMOUNT,,MISS
99,Marathi,,PAN IZERR9922J:PAN,FALSE_POSITIVE
99,Marathi,,फोन 9124248109:PHONE,FALSE_POSITIVE
99,Marathi,,₹208020:AMOUNT,FALSE_POSITIVE
100,Bengali,Name1:PERSON,,MISS
100,Bengali,Address B:ADDRESS,,MISS
100,Bengali,456115:AMOUNT,,MISS
100,Bengali,,₹456115:AMOUNT,FALSE_POSITIVE
101,Odia,user100@mail.com:EMAIL,,MISS
101,Odia,Address A:ADDRESS,,MISS
101,Odia,633599:AMOUNT,,MISS
101,Odia,,mail.com:URL,FALSE_POSITIVE
101,Odia,,₹633599:AMOUNT,FALSE_POSITIVE
102,Punjabi,user101@mail.com:EMAIL,user101@mail.com:CVV,WRONG_LABEL
102,Punjabi,Name4:PERSON,,MISS
102,Punjabi,Address B:ADDRESS,,MISS
102,Punjabi,479544:AMOUNT,,MISS
102,Punjabi,,PAN:PAN,FALSE_POSITIVE
102,Punjabi,,₹479544:AMOUNT,FALSE_POSITIVE
103,Assamese,user102@mail.com:EMAIL,user102@mail.com:CVV,WRONG_LABEL
103,Assamese,Name3:PERSON,,MISS
103,Assamese,Address B:ADDRESS,,MISS
103,Assamese,148709:AMOUNT,,MISS
103,Assamese,,₹148709:AMOUNT,FALSE_POSITIVE
104,Urdu,user103@mail.com:EMAIL,user103@mail.com:CVV,WRONG_LABEL
104,Urdu,Name5:PERSON,,MISS
104,Urdu,Address B:ADDRESS,,MISS
104,Urdu,602776:AMOUNT,,MISS
104,Urdu,,₹602776:AMOUNT,FALSE_POSITIVE
105,English,Name5:PERSON,,MISS
105,English,4795192132323753:CARD,,MISS
105,English,user104@mail.com:EMAIL,,MISS
105,English,9020271170:PHONE,,MISS
105,English,Address A:ADDRESS,,MISS
105,English,505103:AMOUNT,,MISS
105,English,,Aadhaar:AADHAAR,FALSE_POSITIVE
105,English,,Card 4795192132323753:CARD,FALSE_POSITIVE
105,English,,mail.com:URL,FALSE_POSITIVE
105,English,,"Phone 9020271170, Address Address A:PHONE",FALSE_POSITIVE
105,English,,₹505103:AMOUNT,FALSE_POSITIVE
106,Hindi,user105@mail.com:EMAIL,user105@mail.com:CVV,WRONG_LABEL
106,Hindi,Name5:PERSON,,MISS
106,Hindi,Address A:ADDRESS,,MISS
106,Hindi,369436:AMOUNT,,MISS
106,Hindi,,₹369436:AMOUNT,FALSE_POSITIVE
107,Kannada,user106@mail.com:EMAIL,user106@mail.com:CVV,WRONG_LABEL
107,Kannada,Name4:PERSON,,MISS
107,Kannada,DJUYT9054R:PAN,,MISS
107,Kannada,Address A:ADDRESS,,MISS
107,Kannada,164360:AMOUNT,,MISS
107,Kannada,,PAN DJUYT9054R:PAN,FALSE_POSITIVE
107,Kannada,,₹164360:AMOUNT,FALSE_POSITIVE
108,Tamil,user107@mail.com:EMAIL,user107@mail.com:CVV,WRONG_LABEL
108,Tamil,Name3:PERSON,,MISS
108,Tamil,Address B:ADDRESS,,MISS
108,Tamil,657274:AMOUNT,,MISS
108,Tamil,,₹657274:AMOUNT,FALSE_POSITIVE
109,Telugu,user108@mail.com:EMAIL,user108@mail.com:CVV,WRONG_LABEL
109,Telugu,Name1:PERSON,,MISS
109,Telugu,Address C:ADDRESS,,MISS
109,Telugu,146686:AMOUNT,,MISS
109,Telugu,,₹146686:AMOUNT,FALSE_POSITIVE
110,Malayalam,user109@mail.com:EMAIL,user109@mail.com:CVV,WRONG_LABEL
110,Malayalam,Name5:PERSON,,MISS
110,Malayalam,Address C:ADDRESS,,MISS
110,Malayalam,430221:AMOUNT,,MISS
110,Malayalam,,IFSC:IFSC,FALSE_POSITIVE
110,Malayalam,,₹430221:AMOUNT,FALSE_POSITIVE
111,Gujarati,506457342722:BANK_ACCOUNT,506457342722:AADHAAR,WRONG_LABEL
111,Gujarati,user110@mail.com:EMAIL,user110@mail.com:CVV,WRONG_LABEL
111,Gujarati,Name1:PERSON,,MISS
111,Gujarati,Address B:ADDRESS,,MISS
111,Gujarati,601863:AMOUNT,,MISS
111,Gujarati,,₹601863:AMOUNT,FALSE_POSITIVE
112,Marathi,user111@mail.com:EMAIL,user111@mail.com:CVV,WRONG_LABEL
112,Marathi,Name4:PERSON,,MISS
112,Marathi,9854035353:PHONE,,MISS
112,Marathi,Address B:ADDRESS,,MISS
112,Marathi,276734:AMOUNT,,MISS
